,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DataDefinition,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Key,vsm,main_inlet,section_1,section_2,section_3,section_4,section_5,section_6,section_7,section_8,section_9,section_10,section_11,section_12,section_13
DataElements_0_Key,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType,cma.u16_BootloaderType
DataElements_0_Value,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
DataElements_1_Key,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer,cma.u16_BootloaderMajVer
DataElements_1_Value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DataElements_2_Key,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer,cma.u16_BootloaderMinVer
DataElements_2_Value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DataElements_3_Key,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber,cma.u32_SerialNumber
DataElements_3_Value,219070146.0,419080209.0,319200903.0,319200290.0,319200502.0,319200641.0,319200375.0,319200454.0,319200345.0,314228713.0,319200506.0,319200862.0,319200640.0,319200253.0,319201018.0
DataElements_4_Key,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID,cma.u16_DefaultUploadCANID
